name,price,image_URL
Imbue Niraama Period Pain Relief Oil | Effective Formulation To Relieve Pain (15ml),₹498,https://cdn01.pharmeasy.in/dam/products_otc/J41087/imbue-niraama-period-pain-relief-oil-effective-formulation-to-relieve-pain-15ml-2-1671743464.jpg?dim=700x0&dpr=1&q=100
Sirona Premium Digital Tampon (Regular Flow) Medium Flow - 12 Pieces,₹195,https://cdn01.pharmeasy.in/dam/products_otc/I48483/sirona-premium-digital-tampon-regular-flow-medium-flow-12-pieces-2-1669711277.jpg?dim=700x0&dpr=1&q=100
I-Activ Menstrual Cup - Large,₹335,https://cdn01.pharmeasy.in/dam/products_otc/K59260/i-activ-menstrual-cup-large-2-1654250876.jpg?dim=700x0&dpr=1&q=100
Everteen Daily Panty Liners With Antibacterial Strip For Women - 1 Pack (30pcs),₹166,https://cdn01.pharmeasy.in/dam/products_otc/L86416/everteen-daily-panty-liners-with-antibacterial-strip-for-women-1-pack-30pcs-2-1671743056.jpg?dim=700x0&dpr=1&q=100
Wonderize Ultra Thin Cotton Panty Liners - 24 Liners Size - 155mm | Daily Use Freshness & Protection,₹125,https://cdn01.pharmeasy.in/dam/products_otc/E04868/wonderize-ultra-thin-cotton-panty-liners-24-liners-size-155mm-daily-use-freshness-protection-2-1681298057.jpg?dim=700x0&dpr=1&q=100
Peewash Intimate Hygiene Wash | Woman | 100ml,₹270,https://cdn01.pharmeasy.in/dam/products_otc/T19380/peewash-intimate-hygiene-wash-woman-100ml-6.1-1739869412.jpg?dim=700x0&dpr=1&q=100
Gizmoswala Titan Gel Lubricant Provides Comfort During Inercourse - For Men - 1 Unit,₹1200,https://cdn01.pharmeasy.in/dam/products_otc/E10988/gizmoswala-titan-gel-lubricant-provides-comfort-during-inercourse-for-men-1-unit-2-1671742140.jpg?dim=700x0&dpr=1&q=100
"Peesafe Pee Safe Toilet Seat Sanitizer Spray - 75 Ml (Pack Of 3, Lavender)",₹499,https://cdn01.pharmeasy.in/dam/products_otc/H54035/peesafe-pee-safe-toilet-seat-sanitizer-spray-75-ml-pack-of-3-lavender-2-1690436251.jpg?dim=700x0&dpr=1&q=100
Nua Ultra-Safe Sanitary Pads | Light Flow| 12 Pads,₹239,https://cdn01.pharmeasy.in/dam/products_otc/F85847/nua-sanitary-pads-l-pads-medium-flow-pack-of-12-2-1704462139.jpg?dim=700x0&dpr=1&q=100
Love Earth Toilet Seat Sanitizer Eliminates Germs & Foul Odour 100ml,₹199,https://cdn01.pharmeasy.in/dam/products_otc/D80799/love-earth-toilet-seat-sanitizer-eliminates-germs-foul-odour-100ml-2-1684123317.jpg?dim=700x0&dpr=1&q=100
Plush Daily Cotton Pantyliner (Pack Of 40),₹240,https://cdn01.pharmeasy.in/dam/products_otc/O20878/plush-daily-cotton-pantyliner-pack-of-40-2-1723098914.jpg?dim=700x0&dpr=1&q=100
"Amocare Foam Wash For Men | Ph Balanced, Hygiene Wash | Prevents Infection, Irritation & Bad Odour",₹599,https://cdn01.pharmeasy.in/dam/products_otc/R94029/tender-touch-intimate-wash-men-2-1723785710.jpg?dim=700x0&dpr=1&q=100
Clingen Intimate Hygiene Wash Bottle Of 100ml,₹195,https://cdn01.pharmeasy.in/dam/products/264353/clingen-wash-lotion-100ml-1-1641531675.jpg?dim=700x0&dpr=1&q=100
Everteen Natural Intimate Wash For Feminine Hygiene In Women | 2 Packs (210ml Each),₹700,https://cdn01.pharmeasy.in/dam/products_otc/M98755/everteen-natural-intimate-wash-for-feminine-hygiene-in-women-2-packs-210ml-each-2-1684904202.jpg?dim=700x0&dpr=1&q=100
Luciara Anti-Stretch Marks Cream To Reduce Pregnancy Stretch Marks | 50 G,₹550,https://cdn01.pharmeasy.in/dam/products_otc/239997/luciara-anti-stretch-marks-cream-to-reduce-pregnancy-stretch-marks-50-g-6.1-1696398415.jpg?dim=700x0&dpr=1&q=100
Skore Warm Sensation Lubricant Bottle Of 50 Ml,₹300,https://cdn01.pharmeasy.in/dam/products_otc/I38168/skore-warm-sensation-lubricant-bottle-of-50-ml-2-1669710667.jpg?dim=700x0&dpr=1&q=100
Vigini Erase Stretch Marks Removal Cream & Body Massage Cream 200ml,₹900,https://cdn01.pharmeasy.in/dam/products_otc/S97649/vigini-erase-stretch-marks-removal-cream-body-massage-cream-200ml-2-1670995377.jpg?dim=700x0&dpr=1&q=100
Stergic Next Comfy Manual Breast Pump With Silicon Breast Shield | 3 Intensity Levels Soft & Gentle,₹999,https://cdn01.pharmeasy.in/dam/products_otc/B38903/stergic-next-comfy-manual-breast-pump-with-silicon-breast-shield-3-intensity-levels-soft-gentle-2-1736165947.jpg?dim=700x0&dpr=1&q=100
Vigini Erase Stretch Marks Scars Removal Cream & Oil In During After Pregancy Delivery Women 200ml,₹900,https://cdn01.pharmeasy.in/dam/products_otc/H43448/vigini-erase-stretch-marks-scars-removal-cream-oil-in-during-after-pregancy-delivery-women-200ml-2-1670994727.jpg?dim=700x0&dpr=1&q=100
Peesafe Toilet Seat Sanitizer Spray (50ml - 2 Packs) - Lavender|Kills 99.9% Germs & Travel Friendly,₹240,https://cdn01.pharmeasy.in/dam/products_otc/Y15184/peesafe-toilet-seat-sanitizer-spray-50ml-2-packs-lavenderkills-999-germs-travel-friendly-2-1721023129.jpg?dim=700x0&dpr=1&q=100
New Whisper Ultra Soft Xl 50 (284mm) Sanitary Pads,N/A,https://cdn01.pharmeasy.in/dam/products_otc/L92149/new-whisper-ultra-soft-xl-50-284mm-sanitary-pads-2-1690889830.jpg?dim=700x0&dpr=1&q=100
I-Activ Menstrual Cup- Small,₹335,https://cdn01.pharmeasy.in/dam/products_otc/O57923/i-activ-menstrual-cup-small-3-1641793688.jpg?dim=700x0&dpr=1&q=100
